2025-08-30 22:03:35 [INFO] root: Session: 1 | Step: 0
2025-08-30 22:03:35 [INFO] root: Features: Baseline: ['Objection mirroring', 'Question ratio', 'Empathy markers', 'Hedging intensity', 'You/We orientation', 'Pushiness vs. collaborative tone'] | LLM: ['Objection mirroring', 'Question ratio', 'Empathy markers', 'Hedging intensity', 'You/We orientation', 'Pushiness vs. collaborative tone']
2025-08-30 22:03:35 [INFO] root: Policy: Thompson Sampling | Reward Function: 0.6*Δskill + 0.4*Δoverall
2025-08-30 22:03:35 [INFO] root: Results: Baseline (weakest skill): Reward: 27.9 | % Delta Overall: 4125.0%
2025-08-30 22:03:35 [INFO] root: Results: Thompson Sampling: Reward: 44.099999999999994 | % Delta Overall: 4125.0%

2025-08-30 22:03:48 [INFO] root: Session: 2 | Step: 1
2025-08-30 22:03:48 [INFO] root: Features: Baseline: ['Objection mirroring', 'Question ratio', 'Empathy markers', 'Hedging intensity', 'You/We orientation', 'Pushiness vs. collaborative tone'] | LLM: ['Objection mirroring', 'Question ratio', 'Empathy markers', 'Hedging intensity', 'You/We orientation', 'Pushiness vs. collaborative tone']
2025-08-30 22:03:48 [INFO] root: Policy: Thompson Sampling | Reward Function: 0.6*Δskill + 0.4*Δoverall
2025-08-30 22:03:48 [INFO] root: Results: Baseline (weakest skill): Reward: 18.2 | % Delta Overall: 33.0%
2025-08-30 22:03:48 [INFO] root: Results: Thompson Sampling: Reward: 9.2 | % Delta Overall: 33.0%

2025-08-30 22:04:00 [INFO] root: Session: 3 | Step: 2
2025-08-30 22:04:00 [INFO] root: Features: Baseline: ['Objection mirroring', 'Question ratio', 'Empathy markers', 'Hedging intensity', 'You/We orientation', 'Pushiness vs. collaborative tone'] | LLM: ['Objection mirroring', 'Question ratio', 'Empathy markers', 'Hedging intensity', 'You/We orientation', 'Pushiness vs. collaborative tone']
2025-08-30 22:04:00 [INFO] root: Policy: Thompson Sampling | Reward Function: 0.6*Δskill + 0.4*Δoverall
2025-08-30 22:04:00 [INFO] root: Results: Baseline (weakest skill): Reward: 19.4 | % Delta Overall: 25.0%
2025-08-30 22:04:00 [INFO] root: Results: Thompson Sampling: Reward: 20.0 | % Delta Overall: 25.0%

2025-08-30 22:04:12 [INFO] root: Session: 4 | Step: 3
2025-08-30 22:04:12 [INFO] root: Features: Baseline: ['Objection mirroring', 'Question ratio', 'Empathy markers', 'Hedging intensity', 'You/We orientation', 'Pushiness vs. collaborative tone'] | LLM: ['Objection mirroring', 'Question ratio', 'Empathy markers', 'Hedging intensity', 'You/We orientation', 'Pushiness vs. collaborative tone']
2025-08-30 22:04:12 [INFO] root: Policy: Thompson Sampling | Reward Function: 0.6*Δskill + 0.4*Δoverall
2025-08-30 22:04:12 [INFO] root: Results: Baseline (weakest skill): Reward: -45.5 | % Delta Overall: -49.0%
2025-08-30 22:04:12 [INFO] root: Results: Thompson Sampling: Reward: -11.900000000000002 | % Delta Overall: -49.0%

2025-08-30 22:04:27 [INFO] root: Session: 5 | Step: 4
2025-08-30 22:04:27 [INFO] root: Features: Baseline: ['Objection mirroring', 'Question ratio', 'Empathy markers', 'Hedging intensity', 'You/We orientation', 'Pushiness vs. collaborative tone'] | LLM: ['Objection mirroring', 'Question ratio', 'Empathy markers', 'Hedging intensity', 'You/We orientation', 'Pushiness vs. collaborative tone']
2025-08-30 22:04:27 [INFO] root: Policy: Thompson Sampling | Reward Function: 0.6*Δskill + 0.4*Δoverall
2025-08-30 22:04:27 [INFO] root: Results: Baseline (weakest skill): Reward: 24.2 | % Delta Overall: 43.0%
2025-08-30 22:04:27 [INFO] root: Results: Thompson Sampling: Reward: -1.5999999999999996 | % Delta Overall: 43.0%

2025-08-30 22:04:39 [INFO] root: Session: 6 | Step: 5
