rubric_score,talk_ratio,latency,Objection mirroring,Question ratio,Empathy markers,Hedging intensity,You/We orientation,Pushiness vs. collaborative tone
41.25,0.46153846153846156,43.47866666666667,0.0,0.0,0.0,0.5,0.0,0.5
55.25,0.6,18.938000000000002,0.0,0.0,0.0,0.4,0.4,0.4
69.25,0.6,16.987444444444446,0.0,0.0,0.0,0.4,0.5,0.6
35.0,0.5833333333333334,9.904285714285715,0.0,0.0,0.0,0.5,0.0,0.5
50.5,0.5,16.011,0.0,0.0,0.0,0.0,0.0,0.0
58.5,0.5714285714285714,13.037625,0.0,0.0,0.0,0.4,0.5,0.5
54.5,0.5454545454545454,27.647000000000002,0.0,0.0,0.0,0.5,0.5,0.5
10.25,0.5151515151515151,28.336117647058824,0.0,0.0,0.0,0.0,0.0,0.0
15.5,0.5,17.8386,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.5,17.922,0.0,0.0,0.0,1.0,0.0,0.0
18.75,0.46153846153846156,19.149333333333335,0.0,0.0,0.0,1.0,0.0,0.0
16.0,0.5,48.530833333333334,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.5,29.466909090909088,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.46153846153846156,20.566166666666664,0.0,0.0,0.0,0.0,0.0,0.0
43.25,0.52,8.88526923076923,0.0,0.0,0.0,0.5,0.0,0.5
24.0,0.5555555555555556,18.121199999999998,0.0,0.0,0.0,0.4,0.5,0.3
14.25,0.6428571428571429,10.648222222222223,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.6470588235294118,7.606,0.0,0.0,0.0,0.0,0.0,0.0
10.25,0.42857142857142855,10.508000000000001,0.0,0.0,0.0,1.0,0.0,0.0
